  PID  %CPU COMM
    1   0.6 /sbin/launchd
  359   1.5 /usr/libexec/logd
  361   0.0 /usr/libexec/UserEventAgent
  363   4.4 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  364   2.2 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  367   0.0 /usr/sbin/systemstats
  371   0.0 /usr/libexec/configd
  373   0.1 /System/Library/CoreServices/powerd.bundle/powerd
  374   0.0 /usr/libexec/IOMFB_bics_daemon
  378   0.0 /usr/libexec/remoted
  382   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  384   0.0 /usr/libexec/watchdogd
  388   2.3 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  390   0.0 /usr/libexec/kernelmanagerd
  391   0.0 /usr/libexec/diskarbitrationd
  395   0.0 /usr/sbin/syslogd
  397   0.0 /usr/libexec/thermalmonitord
  398   0.5 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  399   0.0 /usr/libexec/xprotectd
  400   0.1 /usr/libexec/opendirectoryd
  401   0.0 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  402   3.4 /System/Library/CoreServices/launchservicesd
  403   0.0 /usr/libexec/timed
  404   0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  405   0.0 /usr/sbin/securityd
  407   1.0 /usr/libexec/locationd
  410   0.0 autofsd
  411   0.0 /usr/libexec/dasd
  412   0.0 /usr/libexec/corerepaird
  414   0.0 /usr/sbin/distnoted
  418   0.0 /System/Library/CoreServices/logind
  419   0.0 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  420   0.0 /usr/sbin/KernelEventAgent
  424   0.0 /usr/sbin/bluetoothd
  425   0.4 /usr/sbin/notifyd
  427   0.0 /usr/libexec/corebrightnessd
  428   0.0 /usr/libexec/AirPlayXPCHelper
  429   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  432  12.9 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  434   0.0 /usr/sbin/cfprefsd
  435   4.3 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  438   1.4 /usr/libexec/runningboardd
  439   0.0 /System/Library/CoreServices/coreservicesd
  442   0.5 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  443   5.9 /usr/sbin/coreaudiod
  444   0.0 /usr/libexec/lsd
  460   0.0 /usr/libexec/eligibilityd
  465   0.0 /usr/libexec/apfsd
  471   0.0 /usr/sbin/distnoted
  472   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  478   0.0 /usr/libexec/airportd
  481   0.4 /usr/libexec/symptomsd
  482   0.0 /usr/sbin/distnoted
  486   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  487   0.0 /usr/sbin/distnoted
  488   0.0 /usr/libexec/ApplicationFirewall/socketfilterfw
  498  14.0 /usr/libexec/syspolicyd
  502   0.0 Core Audio Driver (ParrotAudioPlugin.driver)
  504   0.1 /usr/sbin/mDNSResponder
  505   0.0 /usr/libexec/audiomxd
  514   0.0 /usr/libexec/audioclocksyncd
  516   0.0 /usr/sbin/mDNSResponderHelper
  527   0.0 /usr/sbin/distnoted
  533   0.0 /usr/libexec/modelmanagerd
  535   0.0 /System/Library/CoreServices/appleeventsd
  545   0.0 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  547   0.0 /usr/sbin/appleh13camerad
  556   0.0 /usr/sbin/distnoted
  561   0.1 /usr/libexec/proactived
  563   1.5 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
  565   0.0 /usr/libexec/cameracaptured
  567   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  571   0.0 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  577   0.1 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  582   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  586   0.0 /usr/sbin/distnoted
  587   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  590   0.0 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  593   0.0 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  606   0.0 /usr/sbin/netbiosd
  611   0.0 /usr/sbin/BTLEServer
  612   0.0 /usr/libexec/searchpartyd
  614   0.0 /usr/sbin/distnoted
  619   0.0 /usr/sbin/distnoted
  620   0.4 /usr/sbin/distnoted
  634   0.0 /usr/libexec/UserEventAgent
  640   0.0 /usr/sbin/universalaccessd
  642   4.9 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  643   0.0 /usr/libexec/pboard
  646   0.0 /usr/libexec/lsd
  653   0.0 /usr/sbin/distnoted
  659   0.0 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  669   0.0 /usr/libexec/rapportd
  673   0.0 /usr/sbin/usernoted
  674   0.0 /System/Library/CoreServices/lockoutagent
  679   0.0 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  686   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  688   0.0 /usr/libexec/sharingd
  699   1.6 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  700   0.0 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  701   0.0 /System/Library/CoreServices/SubmitDiagInfo
  702   0.1 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  703   0.0 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  704   0.0 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  707   0.0 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  713   0.0 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  716   0.0 /usr/sbin/filecoordinationd
  717   0.4 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  719   0.0 automountd
  721   0.0 /System/Library/CoreServices/sharedfilelistd
  723   0.0 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  728   0.0 /usr/libexec/ContinuityCaptureAgent
  730   0.0 /Library/Application Support/Adobe/Adobe OS Extension/Creative Cloud.app/Contents/PlugIns/Adobe Context Menu Extension.appex/Contents/MacOS/Adobe Context Menu Extension
  738   0.1 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  740   0.0 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  744   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  746   0.0 /usr/libexec/rosetta/oahd
  749   0.0 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  750   1.4 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  754   0.0 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  758   0.0 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  759   0.5 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  767   0.0 /usr/libexec/nearbyd
  770   0.0 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  771   0.0 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugIns/ACCFinderSync.appex/Contents/MacOS/ACCFinderSync
  773   0.0 /System/Library/ExtensionKit/Extensions/WallpaperMacintoshExtension.appex/Contents/MacOS/WallpaperMacintoshExtension
  776   0.0 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  777   0.0 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  778   0.0 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  792   0.0 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  796   0.0 /usr/sbin/distnoted
  797   0.0 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  801   5.6 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  802   0.0 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  814   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  815   0.0 /usr/libexec/avconferenced
  863   0.0 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  881   0.0 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget
  912   0.0 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension
  931   0.0 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
  952   0.0 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension
  990   0.0 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension
 1050   0.0 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension
 1130   0.0 /System/Library/CoreServices/talagentd
 1269   0.0 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension
 1271   0.0 /usr/sbin/distnoted
 1279   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1288   0.0 /System/Library/Image Capture/Support/icdd
 1292   0.0 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
 1293   0.5 /Users/jagatranvo/.hermes/hermes-agent/venv/bin/python
 1297   0.2 /System/Library/CoreServices/diagnostics_agent
 1298   0.0 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1301   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1307   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1312   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1316   0.0 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
 1325   0.0 /usr/libexec/milod
 1328   0.0 /usr/sbin/distnoted
 1335   0.0 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
 1337   0.0 /usr/sbin/distnoted
 1343   0.0 /System/Applications/News.app/Contents/PlugIns/NewsTag.appex/Contents/MacOS/NewsTag
 1345   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
